Cifras absolutas y relativas;Sexo;Edad;Tipo de bebidas consumidas;Frecuencia de consumo;Total
CIFRAS ABSOLUTAS;Ambos sexos;De 65 a 74 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;1.026,2
CIFRAS ABSOLUTAS;Ambos sexos;De 65 a 74 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;224,7
CIFRAS ABSOLUTAS;Ambos sexos;De 65 a 74 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;74,1
CIFRAS ABSOLUTAS;Ambos sexos;De 65 a 74 años;Copas de vino, champagne o cava;Menos de 1 día al mes;333,5
CIFRAS ABSOLUTAS;Ambos sexos;De 65 a 74 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;160,9
CIFRAS ABSOLUTAS;Ambos sexos;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Total;1.819,4
CIFRAS ABSOLUTAS;Ambos sexos;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;228,0
CIFRAS ABSOLUTAS;Ambos sexos;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;257,4
CIFRAS ABSOLUTAS;Ambos sexos;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;81,9
CIFRAS ABSOLUTAS;Ambos sexos;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;351,0
CIFRAS ABSOLUTAS;Ambos sexos;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;901,0
CIFRAS ABSOLUTAS;Ambos sexos;De 75 y más años;Copas de vino, champagne o cava;Total;1.021,5
CIFRAS ABSOLUTAS;Ambos sexos;De 75 y más años;Copas de vino, champagne o cava;Cuatro o más días a la semana;615,3
CIFRAS ABSOLUTAS;Ambos sexos;De 75 y más años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;113,2
CIFRAS ABSOLUTAS;Ambos sexos;De 75 y más años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;43,5
CIFRAS ABSOLUTAS;Ambos sexos;De 75 y más años;Copas de vino, champagne o cava;Menos de 1 día al mes;181,6
CIFRAS ABSOLUTAS;Ambos sexos;De 75 y más años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;67,9
CIFRAS ABSOLUTAS;Ambos sexos;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Total;1.021,5
CIFRAS ABSOLUTAS;Ambos sexos;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;76,9
CIFRAS ABSOLUTAS;Ambos sexos;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;84,6
CIFRAS ABSOLUTAS;Ambos sexos;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;52,8
CIFRAS ABSOLUTAS;Ambos sexos;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;200,0
CIFRAS ABSOLUTAS;Ambos sexos;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;607,2
CIFRAS ABSOLUTAS;Varones;Total;Copas de vino, champagne o cava;Total;11.012,2
CIFRAS ABSOLUTAS;Varones;Total;Copas de vino, champagne o cava;Cuatro o más días a la semana;3.774,7
CIFRAS ABSOLUTAS;Varones;Total;Copas de vino, champagne o cava;De 1 a 3 días a la semana;1.871,3
CIFRAS ABSOLUTAS;Varones;Total;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;598,8
CIFRAS ABSOLUTAS;Varones;Total;Copas de vino, champagne o cava;Menos de 1 día al mes;1.989,4
CIFRAS ABSOLUTAS;Varones;Total;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;2.778,0
CIFRAS ABSOLUTAS;Varones;Total;Cañas de cerveza ( con alcohol), sidra;Total;11.012,2
