bodega,vino,anio,calificacion,num_resenas,region,precio,tipo,cuerpo,acidez,id_vino
Montecastro,Ribera del Duero Red,2018,4.2,733,Ribera del Duero,18.5,Ribera del Duero Tinto,5.0,3.0,1892
Contino,Rioja Gran Reserva,2008,4.2,732,Rioja,36.0,Rioja Tinto,4.0,3.0,1893
Contino,Rioja Gran Reserva,2009,4.2,731,Rioja,85.8,Rioja Tinto,4.0,3.0,1894
Hispano Suizas,Bassus Pinot Noir,2018,4.2,721,Utiel-Requena,19.25,Tinto,4.0,3.0,1895
Quinta Sardonia,QS,2007,4.2,707,Castilla y Leon,37.5,Tinto,4.0,3.0,1896
VALENCISO,Rioja Reserva,2014,4.2,696,Rioja,19.4,Rioja Tinto,4.0,3.0,1897
Gramona,Gessami,2020,4.2,692,Penedes,11.2,DO Penedés ,3.0,3.0,1898
Remirez de Ganuza,Rioja Reserva Fincas de Ganuza,2014,4.2,684,Rioja,29.5,Rioja Tinto,4.0,3.0,1899
Barahonda,Summum Monastrell,2017,4.2,682,Yecla,15.95,Monastrell,5.0,3.0,1900
Losada,Altos de Losada,2017,4.2,676,Bierzo,18.4,Mencia,3.0,3.0,1901
Alvaro Palacios,Finca Dofi,2014,4.2,671,Priorato,59.95,Priorat Tinto,4.0,3.0,1902
El Coto,Coto de Imaz Rioja Gran Reserva,2015,4.2,668,Rioja,15.88,Rioja Tinto,4.0,3.0,1903
Matsu,El Viejo,2012,4.2,668,Toro,26.95,Toro Tinto,5.0,3.0,1904
Recaredo,Corpinnat Terrers Brut Nature,2017,4.2,667,Cava,25.0,Cava,2.0,3.0,1905
Williams & Humbert,Dos Cortados Palo Cortado Solera Especial Aged 20 Years,N.V.,4.2,666,Jerez Palo Cortado,32.16,Jerez,4.0,3.0,1906
Alvaro Palacios,Vi de Vila Gratallops,2015,4.2,648,Priorato,60.0,Priorat Tinto,4.0,3.0,1907
Alvaro Palacios,Vi de Vila Gratallops,2014,4.2,647,Priorato,55.0,Priorat Tinto,4.0,3.0,1908
Marques de Murrieta,Gran Reserva Rioja (Finca Ygay),2010,4.2,645,Rioja,86.95,Rioja Tinto,4.0,3.0,1909
Tobia,Oscar Tobia Reserva Rioja,2015,4.2,633,Rioja,20.0,Rioja Tinto,4.0,3.0,1910
Marques de Caceres,Rioja Satinela Blanco Semidulce,2020,4.2,630,Rioja,6.99,Rioja Blanco,3.0,3.0,1911
Vina Pedrosa,Reserva,2012,4.2,628,Ribera del Duero,29.93,Ribera del Duero Tinto,5.0,3.0,1912
Castillo Perelada,Finca Malaveina,2012,4.2,627,Emporda,17.84,Tinto,4.0,3.0,1913
Contino,Rioja Gran Reserva,2014,4.2,624,Rioja,34.5,Rioja Tinto,4.0,3.0,1914
Bodegas Mauro,Red,2008,4.2,622,Castilla y Leon,55.0,Tinto,4.0,3.0,1915
Portal del Priorat,Clos del Portal Negre de Negres,2017,4.2,612,Priorato,21.85,Priorat Tinto,4.0,3.0,1916
Recaredo,Corpinnat Terrers Brut Nature,2016,4.2,611,Cava,21.8,Cava,2.0,3.0,1917
Torre de Ona,Martelo Reserva,2014,4.2,600,Rioja,20.5,Rioja Tinto,4.0,3.0,1918
Tinto Pesquera,Crianza,2019,4.2,599,Ribera del Duero,17.25,Ribera del Duero Tinto,5.0,3.0,1919
Dehesa de Los Canonigos,Solideo,2015,4.2,592,Ribera del Duero,35.09,Ribera del Duero Tinto,5.0,3.0,1920
Sei Solo,Preludio,2017,4.2,591,Ribera del Duero,24.9,Ribera del Duero Tinto,5.0,3.0,1921
Diez Caballero,Reserva Tempranillo,2011,4.2,587,Rioja,20.4532878069468,Rioja Tinto,4.0,3.0,1922
Mas d'en Gil,Coma Vella Priorat,2014,4.2,576,Priorato,24.8,Priorat Tinto,4.0,3.0,1923
Chozas Carrascal,Las Ocho (8) Tinto,2017,4.2,570,Utiel-Requena,16.767557,Tinto,4.0,3.0,1924
Vegalfaro,Pago de los Balagueses Syrah,2017,4.2,559,Utiel-Requena,17.7,Syrah,4.0,3.0,1925
Lopez Cristobal,Bagus Ribera del Duero,2012,4.2,559,Ribera del Duero,54.0,Ribera del Duero Tinto,5.0,3.0,1926
Clos Galena,Formiga de Vellut,2018,4.2,558,Priorato,16.2,Priorat Tinto,4.0,3.0,1927
Bodegas Valduero,Tierra Alta En 2 Maderas,2017,4.2,557,Ribera del Duero,19.9,Ribera del Duero Tinto,5.0,3.0,1928
Los Aguilares,Pago El Espino,2017,4.2,555,Sierras de Malaga,25.35,Tinto,4.0,3.0,1929
VALENCISO,Rioja Blanco,2018,4.2,540,Rioja,17.75,Rioja Blanco,3.0,3.0,1930
